KIC ID,surpassed threshold,total,ratio
3130295,3,15,0.2
2285151,2,18,0.1111111111
2854994,10,18,0.5555555556
2994233,1,18,0.05555555556
2303414,3,17,0.1764705882
1718537,1,18,0.05555555556
2556127,4,18,0.2222222222
3222740,1,18,0.05555555556
2443573,2,15,0.1333333333
3124465,1,18,0.05555555556
3234248,1,18,0.05555555556
2439798,1,18,0.05555555556
3346725,3,18,0.1666666667
2018283,2,15,0.1333333333
3236382,3,18,0.1666666667
3113648,1,18,0.05555555556
2579906,1,18,0.05555555556
2975501,4,18,0.2222222222
2715545,2,18,0.1111111111
2987088,7,18,0.3888888889
2283435,1,18,0.05555555556
3130861,1,15,0.06666666667
2718662,1,18,0.05555555556
3129321,4,15,0.2666666667
2447175,3,18,0.1666666667
2696511,2,18,0.1111111111
3231137,1,18,0.05555555556
2018677,3,18,0.1666666667
3102108,1,18,0.05555555556
3346914,4,18,0.2222222222
2857324,1,18,0.05555555556
2156514,1,18,0.05555555556
2584692,5,18,0.2777777778
2714090,1,18,0.05555555556
3219306,1,18,0.05555555556
2157600,2,18,0.1111111111
1870057,2,18,0.1111111111
3424743,1,18,0.05555555556
3113270,1,18,0.05555555556
2424847,1,2,0.5
3346779,1,15,0.06666666667
2447529,6,18,0.3333333333
2847383,2,18,0.1111111111
1429497,4,18,0.2222222222
3228219,1,18,0.05555555556
2282926,1,18,0.05555555556
1869510,2,18,0.1111111111
3115946,2,18,0.1111111111
1719472,2,18,0.1111111111
2307675,3,18,0.1666666667
2010414,1,18,0.05555555556
3352189,1,15,0.06666666667
2834481,1,18,0.05555555556
2835795,1,13,0.07692307692
2019109,1,7,0.1428571429
3113080,1,18,0.05555555556
1434326,3,18,0.1666666667
1433593,2,18,0.1111111111
2304655,1,18,0.05555555556
2554042,3,18,0.1666666667
3328398,5,18,0.2777777778
3340010,1,18,0.05555555556
1570918,2,18,0.1111111111
